time	type	subtype	content
270.754	state		reward_left
270.825	state		reward_consumption
271.347	event	sync	rsync
275.025	event	input	poke_4_out
276.025	event	timer	consumption_timer
276.025	state		inter_trial_interval
276.717	event	sync	rsync
276.767	event	input	poke_4
276.848	event	input	poke_4_out
278.033	state		initiation_state
278.850	event	input	poke_4
278.901	event	input	poke_4_out
279.217	event	input	poke_5
279.219	state		choice_state
279.273	event	input	poke_5_out
279.527	event	input	poke_4
279.528	state		chose_left
279.529	variable	print	{"n_trials": 25, "n_rewards": 12, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": false, "mov_ave": 0.7304482, "threshold_crossed": false}
280.030	state		no_reward
280.130	state		reward_consumption
280.510	event	input	poke_4_out
281.511	event	timer	consumption_timer
281.511	state		inter_trial_interval
282.656	state		initiation_state
283.141	event	input	poke_5
283.142	state		choice_state
283.224	event	input	poke_5_out
283.538	event	input	poke_4
283.539	state		chose_left
283.540	variable	print	{"n_trials": 26, "n_rewards": 13, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.7621214, "threshold_crossed": true}
284.041	state		reward_left
284.112	state		reward_consumption
285.735	event	sync	rsync
291.457	event	input	poke_4_out
291.491	event	input	poke_4
291.986	event	input	poke_4_out
292.987	event	timer	consumption_timer
292.987	state		inter_trial_interval
293.033	event	sync	rsync
294.941	state		initiation_state
295.902	event	sync	rsync
296.002	event	input	poke_5
296.003	state		choice_state
296.058	event	input	poke_5_out
296.342	event	input	poke_4
296.343	state		chose_left
296.344	variable	print	{"n_trials": 27, "n_rewards": 14, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.7900729, "threshold_crossed": true}
296.845	state		reward_left
296.916	state		reward_consumption
298.530	event	sync	rsync
302.502	event	input	poke_4_out
303.503	event	timer	consumption_timer
303.503	state		inter_trial_interval
303.549	event	sync	rsync
306.228	state		initiation_state
307.010	event	input	poke_5
307.011	state		forced_choice_left
307.089	event	input	poke_5_out
307.390	event	input	poke_4
307.391	state		chose_left
307.392	variable	print	{"n_trials": 28, "n_rewards": 15, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.7900729, "threshold_crossed": true}
307.893	state		reward_left
307.964	state		reward_consumption
310.917	event	sync	rsync
311.134	event	input	poke_4_out
311.161	event	input	poke_4
311.192	event	input	poke_4_out
312.010	event	input	poke_4
312.385	event	input	poke_4_out
313.386	event	timer	consumption_timer
313.386	state		inter_trial_interval
314.561	event	sync	rsync
315.594	event	input	poke_5
315.768	event	input	poke_5_out
315.812	event	input	poke_5
315.954	event	input	poke_5_out
316.195	state		initiation_state
322.182	event	sync	rsync
323.299	event	input	poke_4
323.475	event	input	poke_4_out
330.728	event	sync	rsync
335.452	event	input	poke_5
335.453	state		choice_state
335.564	event	input	poke_5_out
335.793	event	input	poke_5
335.848	event	input	poke_5_out
336.207	event	sync	rsync
336.262	event	input	poke_4
336.263	state		chose_left
336.264	variable	print	{"n_trials": 29, "n_rewards": 16, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.81474, "threshold_crossed": true}
336.765	state		reward_left
336.836	state		reward_consumption
342.341	event	sync	rsync
344.283	event	sync	rsync
348.177	event	input	poke_4_out
348.218	event	input	poke_4
348.314	event	input	poke_4_out
